Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0015982,"",CC1=C(Br)C=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,CC1=C(Br)C=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,CVD-0015982-001,PCM-0222046,"CC1=C(Br)C=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1 |c:1,10,19,23,28,31,t:4,7,17,21,25|",2.07,1.83,2.35,1.04,2.1
CVD-0015981,"",O=C(CC1=CC(Cl)=CC(NC2=CC=C(N3CCOCC3=O)C=C2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(NC2=CC=C(N3CCOCC3=O)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015981-001,PCM-0222047,"ClC1=CC(NC2=CC=C(C=C2)N2CCOCC2=O)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:7,9,19,28,32,37,t:1,5,26,30,34|",1.99,1.85,2.14,0.991,2.1
CVD-0015980,"",O=C(CC1=CC(Cl)=CC(N2CCN(C(=O)C3CC3)CC2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(N2CCN(C(=O)C3CC3)CC2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015980-001,PCM-0222048,"ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C(=O)C1CC1 |c:3,12,16,21,t:1,10,14,18|",2.01,1.76,2.28,1.07,2.1
CVD-0015979,"",O=C(CC1=CC(Cl)=CC(NC2=NC=NC3=C2N=CN3CCO)=C1)NC1=CN=CC2=CC=CC=C12,OCCN1C=NC2=C1N=CN=C2NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,CVD-0015979-001,PCM-0222049,"OCCN1C=NC2=C1N=CN=C2NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1 |c:4,6,9,11,24,28,33,36,t:15,22,26,30|",1.82,1.65,2.02,0.968,2.1
CVD-0015978,"",NC(=O)C1=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Cl)C=C1,NC(=O)C1=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Cl)C=C1,001,CVD-0015978-001,PCM-0222050,"NC(=O)C1=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Cl)C=C1 |c:10,19,23,28,33,t:3,7,17,21,25,30|",1.79,1.62,1.96,1.02,2.1
CVD-0015977,"",O=C(CC1=CC(NCC2=CC(C(F)(F)F)=C(Cl)C=C2)=CC(Cl)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)C1=C(Cl)C=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,CVD-0015977-001,PCM-0222051,"FC(F)(F)C1=C(Cl)C=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1 |c:4,7,15,24,28,33,35,t:12,22,26,30|",2.98,2.61,3.41,1.04,2.1
CVD-0015976,"",O=C(CC1=CC(Cl)=CC(NC2=NN=C(C(F)(F)F)S2)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)C1=NN=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)S1,001,CVD-0015976-001,PCM-0222052,"FC(F)(F)C1=NN=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)S1 |c:18,22,27,30,t:4,6,9,16,20,24|",2.44,2.21,2.69,0.989,2.1
CVD-0015975,"",N#CC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N(C2=CC=C([N+](=O)[O-])C=C2)N=C1,[O-][N+](=O)C1=CC=C(N2N=CC(C#N)=C2NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,CVD-0015975-001,PCM-0222053,"[O-][N+](=O)C1=CC=C(C=C1)N1N=CC(C#N)=C1NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1 |c:5,7,11,15,28,32,37,40,t:3,19,26,30,34|",1.84,1.61,2.09,1.01,2.1
CVD-0015974,"",O=C(CC1=CC(Cl)=CC(NC2=C(O)C3=CC=CC=C3C=C2)=C1)NC1=CN=CC2=CC=CC=C12,OC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC2=CC=CC=C12,001,CVD-0015974-001,PCM-0222054,"OC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC2=CC=CC=C12 |c:1,13,17,22,25,28,32,t:4,11,15,19,30,34|",4.10,3.77,4.46,1.10,2.1
CVD-0015973,"",CC1=CC(Br)=CC(C)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,CC1=CC(Br)=CC(C)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015973-001,PCM-0222055,"CC1=CC(Br)=CC(C)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:4,7,14,23,27,32,t:1,11,21,25,29|",1.71,1.56,1.88,0.972,2.1
