Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0013697,"",NC1=NN(C(=O)CC2=CC=CC(Cl)=C2)C2=CC=CC(F)=C12,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccc(F)c12,001,CVD-0013697-001,MAT-POS-0c8fa4a7-4,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccc(F)c12,> 99.5,"","",0.322,2.3
CVD-0013696,"",NC1=NN(C(=O)CC2=CC=CC(Cl)=C2)C2=CC=CC=C12,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccccc12,001,CVD-0013696-001,MAT-POS-0c8fa4a7-3,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccccc12,> 99.5,"","",0.866,2.3
CVD-0013695,"",COC1=CC=C2C(=C1)C(N)=NN2C(=O)CC1=CC=CC(Cl)=C1,COc1ccc2n(C(=O)Cc3cccc(Cl)c3)nc(N)c2c1,001,CVD-0013695-001,MAT-POS-0c8fa4a7-2,COc1ccc2c(c1)c(N)nn2C(=O)Cc1cccc(Cl)c1,> 99.5,"","",0.228,4
CVD-0013694,"",O=C(NC1=CN=CC2=CC=CC=C12)C1=CCCC2=CC=C(Cl)C=C12,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)=CCC2,001,CVD-0013694-001,MAT-POS-0c8fa4a7-1,O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21,0.233,0.198,0.275,0.920,2.1
CVD-0013693,"",O=C1CC(OC2=CC(N(CCC3CCCCC3)C(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N1,Clc1cc(OC2CC(=O)N2)cc(N(CCC2CCCCC2)C(=O)Nc2cncc3ccccc23)c1,001,CVD-0013693-001,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,0.706,0.622,0.800,1.14,1.1
CVD-0013693,"",O=C1CC(OC2=CC(N(CCC3CCCCC3)C(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N1,Clc1cc(OC2CC(=O)N2)cc(N(CCC2CCCCC2)C(=O)Nc2cncc3ccccc23)c1,001,CVD-0013693-001,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,0.527,0.500,0.557,1.05,1.1
CVD-0013693,"",O=C1CC(OC2=CC(N(CCC3CCCCC3)C(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N1,Clc1cc(OC2CC(=O)N2)cc(N(CCC2CCCCC2)C(=O)Nc2cncc3ccccc23)c1,001,CVD-0013693-001,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,0.182,0.168,0.199,1.03,2.1
CVD-0013693,"",O=C1CC(OC2=CC(N(CCC3CCCCC3)C(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N1,Clc1cc(OC2CC(=O)N2)cc(N(CCC2CCCCC2)C(=O)Nc2cncc3ccccc23)c1,001,CVD-0013693-001,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,0.109,0.102,0.115,1.17,1.1
CVD-0013693,"",O=C1CC(OC2=CC(N(CCC3CCCCC3)C(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)N1,Clc1cc(OC2CC(=O)N2)cc(N(CCC2CCCCC2)C(=O)Nc2cncc3ccccc23)c1,001,CVD-0013693-001,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,0.0578,0.0541,0.0618,0.981,2.1
CVD-0013692,"",CC1=CC=NC=C1NC(=O)N(CCC1CCCCC1)C1=CC(OC(C)C)=CC(Cl)=C1,CC(C)Oc1cc(Cl)cc(N(CCC2CCCCC2)C(=O)Nc2cnccc2C)c1,001,CVD-0013692-001,MAT-POS-53907a1c-2,Cc1ccncc1NC(=O)N(CCC1CCCCC1)c1cc(Cl)cc(OC(C)C)c1,24.6,16.5,36.5,0.596,2.3
CVD-0013691,"",COC1=CC=C2C(N)=NN(C(=O)CC3=CC=CC(Cl)=C3)C2=C1,COc1ccc2c(N)nn(C(=O)Cc3cccc(Cl)c3)c2c1,001,CVD-0013691-001,MAT-POS-53907a1c-1,COc1ccc2c(N)nn(C(=O)Cc3cccc(Cl)c3)c2c1,> 99.5,"","",0.823,2.3
CVD-0013679,"",O=C(NC1=CN=CC2=CC(CN3CCNCC3)=CC=C12)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cncc3cc(CN4CCNCC4)ccc13)CCO2,001,CVD-0013679-001,MAK-UNK-8be7dca9-1,O=C(Nc1cncc2cc(CN3CCNCC3)ccc12)C1CCOc2ccc(Cl)cc21,1.83,1.55,2.17,1.22,1.1
CVD-0013678,"",O=C1C(=O)N(CC2=CC=CC=C2)C2=CC=C([N+](=O)[O-])C=C12,[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,001,CVD-0013678-001,LOR-NOR-c954e7ad-6,O=C1C(=O)N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc21,> 99.5,"","","",""
CVD-0013677,"",O=C(O)CN1C(=O)C(=O)C2=CC([N+](=O)[O-])=CC=C21,OC(=O)CN1C(=O)C(=O)c2cc([N+]([O-])=O)ccc21,001,CVD-0013677-001,LOR-NOR-c954e7ad-5,O=C(O)CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,> 99.5,"","","",""
CVD-0013676,"",CCC1=CC=C2C(=C1)C(=O)C(=O)N2CC(=O)O,CCc1ccc2c(c1)C(=O)C(=O)N2CC(O)=O,001,CVD-0013676-001,LOR-NOR-c954e7ad-4,CCc1ccc2c(c1)C(=O)C(=O)N2CC(=O)O,> 99.5,"","","",""
CVD-0013675,CDD-1649816,CC(C)CCN1C(=O)C(=O)C2=CC(Br)=CC=C21,CC(C)CCN1C(=O)C(=O)c2cc(Br)ccc21,001,CVD-0013675-001,LOR-NOR-c954e7ad-3,CC(C)CCN1C(=O)C(=O)c2cc(Br)ccc21,> 99.5,"","",1.33,4
CVD-0013674,"",CCCCN1C(=O)C(=O)C2=CC(Br)=CC(C)=C21,CCCCN1C(=O)C(=O)c2cc(Br)cc(C)c21,001,CVD-0013674-001,LOR-NOR-c954e7ad-2,CCCCN1C(=O)C(=O)c2cc(Br)cc(C)c21,> 99.5,"","","",""
CVD-0013673,"",CC1=NC(CN2C(=O)C(=O)C3=CC(Br)=CC=C32)=CS1,Cc1nc(CN2C(=O)C(=O)c3cc(Br)ccc32)cs1,001,CVD-0013673-001,LOR-NOR-c954e7ad-1,Cc1nc(CN2C(=O)C(=O)c3cc(Br)ccc32)cs1,> 99.5,"","",1.34,4
CVD-0013559,"",CN1CCC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C21,CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,001,CVD-0013559-001,MIC-UNK-91acba05-6,CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,0.443,0.417,0.471,1.16,1.1
CVD-0013558,"",O=C(NC1=CN=CC2=CC=CC=C12)C1CCS(=O)(=O)C2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CCS2(=O)=O,001,CVD-0013558-001,MIC-UNK-91acba05-3,O=C(Nc1cncc2ccccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,0.288,0.267,0.310,1.00,1.1
CVD-0013557,"",CN1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,002,CVD-0013557-002,MIC-UNK-91acba05-2,"CN1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |c:9,13,22,24,t:7,11,15,19|",0.335,0.302,0.371,1.16,1.1
CVD-0013556,"",O=C1NCC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C12,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CNC2=O,001,CVD-0013556-001,MIC-UNK-91acba05-1,O=C1NCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,0.208,0.183,0.237,0.883,2.1
CVD-0013554,"",O=C(CN1N=NC2=CC=CC=C21)N(CC1=CC(Cl)=CC=C1)C1=CC=C(N2CCCCC2)C=C1,Clc1cccc(CN(C(=O)Cn2nnc3ccccc23)c2ccc(N3CCCCC3)cc2)c1,001,CVD-0013554-001,CHO-MSK-00c5269a-5,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1,3.65,2.72,4.89,0.657,1.1
CVD-0013553,"",O=C(CN1N=NC2=CC=CC=C21)N(CC1=CC(Cl)=CC=C1)C1=CC=C(N2CCOCC2)C=C1,Clc1cccc(CN(C(=O)Cn2nnc3ccccc23)c2ccc(N3CCOCC3)cc2)c1,001,CVD-0013553-001,CHO-MSK-00c5269a-4,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1,3.70,3.42,4.00,1.02,1.1
CVD-0013552,"",COC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CN2N=NC3=CC=CC=C32)C=C1,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc23)cc1,001,CVD-0013552-001,CHO-MSK-00c5269a-2,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,1.14,1.06,1.23,1.04,1.1
CVD-0013551,"",CC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CN2N=NC3=CC=CC=C32)C=C1,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc23)cc1,001,CVD-0013551-001,CHO-MSK-00c5269a-1,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,2.33,2.00,2.72,0.946,1.1
CVD-0013549,"",CN(C)CCCN(CC1=CC=CS1)C(=O)CC1=CN=CC2=CC=CC=C12,CN(C)CCCN(Cc1cccs1)C(=O)Cc1cncc2ccccc12,001,CVD-0013549-001,ALP-POS-64a710fa-2,CN(C)CCCN(Cc1cccs1)C(=O)Cc1cncc2ccccc12,> 99.5,"","",1.47,2.3
CVD-0013548,"",O=C(CC1=CN=CC2=CC=CC=C12)N(CCC1CCCCC1)CC1=CC=CS1,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,001,CVD-0013548-001,ALP-POS-64a710fa-1,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,9.86,6.14,15.8,1.01,1.3
CVD-0013519,"",O=C(CC1=CC(Cl)=CC=C1)NC1=CN=CC2=C1CCC2,Clc1cccc(CC(=O)Nc2cncc3c2CCC3)c1,001,CVD-0013519-001,MAT-POS-199e2e7c-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,5.16,4.86,5.48,1.07,1.1
CVD-0013518,"",O=C(NC1=CN=CC2=CC=CC=C12)C1COC2=C1C=CC=C2Cl,Clc1cccc2c1OCC2C(=O)Nc1cncc2ccccc12,001,CVD-0013518-001,FRA-DIA-c7e803f4-1,O=C(Nc1cncc2ccccc12)C1COc2c(Cl)cccc21,4.76,4.51,5.01,0.940,1.1
CVD-0013517,"",O=C(CC1=CC(Cl)=CC=C1)NC1=NN=C2C=CC=CN12,Clc1cccc(CC(=O)Nc2nnc3ccccn23)c1,001,CVD-0013517-001,PET-UNK-e44ffd04-1,O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12,> 99.5,"","",0.818,2.3
CVD-0013509,"",O=C(CC1=CC(C2=NN=CN2)=CC(Cl)=C1)NC1=CN=CC2=CC=CC=C12,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(-c2nnc[nH]2)c1,001,CVD-0013509-001,RAL-THA-1d44ff04-8,O=C(Cc1cc(Cl)cc(-c2nnc[nH]2)c1)Nc1cncc2ccccc12,5.30,4.84,5.80,0.974,1.1
CVD-0013500,"",O=C(CC1=CC(Cl)=CC=C1)NC1=NNC2=CC=NC=C12,Clc1cccc(CC(=O)Nc2n[nH]c3ccncc23)c1,001,CVD-0013500-001,EDJ-MED-c8e7a002-16,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccncc12,> 99.5,"","","",""
CVD-0013499,"",O=C(CC1=CC(Cl)=CC=C1)NC1=NNC2=CC=NC(Br)=C12,Clc1cccc(CC(=O)Nc2n[nH]c3ccnc(Br)c23)c1,001,CVD-0013499-001,EDJ-MED-c8e7a002-15,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccnc(Br)c12,> 99.5,"","","",""
CVD-0013498,"",O=C(CC1=CC(Cl)=CC=C1)NC1=C2N=CC=CC2=NN1,Clc1cccc(CC(=O)Nc2[nH]nc3cccnc23)c1,001,CVD-0013498-001,EDJ-MED-c8e7a002-14,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccnc12,> 99.5,"","",2.60,2.3
CVD-0013497,"",O=C(CC1=CC=CC(Cl)=C1)NC1=C2C(F)=CC=CC2=NN1,Fc1cccc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,001,CVD-0013497-001,EDJ-MED-c8e7a002-13,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccc(F)c12,> 99.5,"","",1.02,2.3
CVD-0013496,"",O=C(CC1=CC(Cl)=CC=C1)NC1=CC=CC2=C1NN=C2,Clc1cccc(CC(=O)Nc2cccc3cn[nH]c23)c1,001,CVD-0013496-001,EDJ-MED-c8e7a002-12,O=C(Cc1cccc(Cl)c1)Nc1cccc2cn[nH]c12,> 99.5,"","",0.617,2.3
CVD-0013495,"",O=C(CC1=CC(Cl)=CC=C1)NC1=NNC2=CC=CC=C12,Clc1cccc(CC(=O)Nc2n[nH]c3ccccc23)c1,001,CVD-0013495-001,EDJ-MED-c8e7a002-11,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccccc12,> 99.5,"","",1.67,2.3
CVD-0013494,"",O=C(CC1=CC=CC(Cl)=C1)NC1=C2C=CC(F)=CC2=NN1,Fc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,001,CVD-0013494-001,EDJ-MED-c8e7a002-10,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cc(F)ccc12,> 99.5,"","","",""
CVD-0013493,"",O=C(CC1=CC=CC(Cl)=C1)NC1=NNC2=CC=C(F)C=C12,Fc1ccc2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c2c1,001,CVD-0013493-001,EDJ-MED-c8e7a002-9,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccc(F)cc12,> 99.5,"","",1.07,2.1
CVD-0013490,"",CC1=NN(C)C2=C1C(NC(=O)CC1=CC=CC(Cl)=C1)=NN2,Cc1nn(C)c2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c12,001,CVD-0013490-001,EDJ-MED-c8e7a002-6,Cc1nn(C)c2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c12,> 99.5,"","",2.68,3
CVD-0013489,"",CC1=CC(C(F)(F)F)=NC2=NNC(NC(=O)CC3=CC=CC(Cl)=C3)=C12,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,001,CVD-0013489-001,EDJ-MED-c8e7a002-5,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,> 99.5,"","",1.69,2.3
CVD-0013488,"",CC1=C(NC(=O)CC2=CC=CC(Cl)=C2)C2=NN=CN2C=C1,Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,001,CVD-0013488-001,EDJ-MED-c8e7a002-4,Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,75.3,67.8,83.6,1.10,2.1
CVD-0013487,"",COC1=CC2=NNC(NC(=O)CC3=CC=CC(Cl)=C3)=C2C=C1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,001,CVD-0013487-001,EDJ-MED-c8e7a002-3,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,> 99.5,"","",2.09,2.3
CVD-0013486,"",COC1=CC2=C(NC(=O)CC3=CC=CC(Cl)=C3)NN=C2C=C1,COc1ccc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c2c1,001,CVD-0013486-001,EDJ-MED-c8e7a002-2,COc1ccc2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c2c1,> 99.5,"","","",""
CVD-0013485,"",COC1=CC=C2C(NC(=O)CC3=CC=CC(Cl)=C3)=NOC2=C1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)noc2c1,001,CVD-0013485-001,EDJ-MED-c8e7a002-1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)noc2c1,> 99.5,"","","",""
CVD-0013482,"",O=C(CC1=CC(Cl)=CC=C1)NC1CC(=O)C2=CC=CC=C21,Clc1cccc(CC(=O)NC2CC(=O)c3ccccc32)c1,001,CVD-0013482-001,ALP-POS-8b8a49e1-6,O=C(Cc1cccc(Cl)c1)NC1CC(=O)c2ccccc21,53.8,38.3,75.4,1.04,2.3
CVD-0013481,"",O=C1CC(NC(=O)C2CCOC3=CC=C(Cl)C=C32)CCN1,Clc1ccc2c(c1)C(C(=O)NC1CCNC(=O)C1)CCO2,001,CVD-0013481-001,ALP-POS-8b8a49e1-4,O=C1CC(NC(=O)C2CCOc3ccc(Cl)cc32)CCN1,(IC50 could not be calculated),"","","",""
CVD-0013477,"",CC1=CC(C(F)(F)F)=NC2=NNC(NC(=O)C3CCOC4=CC=C(Cl)C=C43)=C12,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,001,CVD-0013477-001,JAG-UCB-52b62a6f-19,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,26.0,23.2,29.1,1.24,2.1
CVD-0013476,"",O=C(NC1=NNC2=CC=NC=C12)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1n[nH]c3ccncc13)CCO2,001,CVD-0013476-001,JAG-UCB-52b62a6f-16,O=C(Nc1n[nH]c2ccncc12)C1CCOc2ccc(Cl)cc21,70.3,54.5,90.6,1.45,2.3
CVD-0013475,"",O=C(NC1=NNC2=CC=NC(Br)=C12)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1n[nH]c3ccnc(Br)c13)CCO2,001,CVD-0013475-001,JAG-UCB-52b62a6f-15,O=C(Nc1n[nH]c2ccnc(Br)c12)C1CCOc2ccc(Cl)cc21,> 99.5,"","",1.30,2.3
CVD-0013473,"",O=C(NC1=CC=CC2=C1NN=C2)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cccc3cn[nH]c13)CCO2,001,CVD-0013473-001,JAG-UCB-52b62a6f-13,O=C(Nc1cccc2cn[nH]c12)C1CCOc2ccc(Cl)cc21,> 99.5,"","",0.992,2.3
CVD-0013472,"",COC1=CC2=NNC(NC(=O)C3CCOC4=CC=C(Cl)C=C43)=C2C=C1,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)[nH]nc2c1,001,CVD-0013472-001,JAG-UCB-52b62a6f-12,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)[nH]nc2c1,> 99.5,"","",0.919,3
CVD-0013471,"",CC1=C(NC(=O)C2CCOC3=CC=C(Cl)C=C32)C2=NN=CN2C=C1,Cc1ccn2cnnc2c1NC(=O)C1CCOc2ccc(Cl)cc21,001,CVD-0013471-001,JAG-UCB-52b62a6f-11,Cc1ccn2cnnc2c1NC(=O)C1CCOc2ccc(Cl)cc21,> 99.5,"","",1.35,2.3
CVD-0013470,"",COC1=CC=C2C(NC(=O)C3CCOC4=CC=C(Cl)C=C43)=NOC2=C1,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)noc2c1,001,CVD-0013470-001,JAG-UCB-52b62a6f-10,COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)noc2c1,61.5,55.8,67.8,2.08,2.1
CVD-0013469,"",O=C(NC1=C2C=CC(F)=CC2=NN1)C1CCOC2=CC=C(Cl)C=C21,Fc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)[nH]nc2c1,001,CVD-0013469-001,JAG-UCB-52b62a6f-9,O=C(Nc1[nH]nc2cc(F)ccc12)C1CCOc2ccc(Cl)cc21,(IC50 could not be calculated),"","","",""
CVD-0013468,"",COC1=CC2=C(NC(=O)C3CCOC4=CC=C(Cl)C=C43)NN=C2C=C1,COc1ccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,001,CVD-0013468-001,JAG-UCB-52b62a6f-8,COc1ccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,(IC50 could not be calculated),"","","",""
CVD-0013467,"",O=C(NC1=C2N=CC=CC2=NN1)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1[nH]nc3cccnc13)CCO2,001,CVD-0013467-001,JAG-UCB-52b62a6f-7,O=C(Nc1[nH]nc2cccnc12)C1CCOc2ccc(Cl)cc21,> 99.5,"","",1.31,2.3
CVD-0013466,"",O=C(NC1=C2C(F)=CC=CC2=NN1)C1CCOC2=CC=C(Cl)C=C21,Fc1cccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,001,CVD-0013466-001,JAG-UCB-52b62a6f-5,O=C(Nc1[nH]nc2cccc(F)c12)C1CCOc2ccc(Cl)cc21,> 99.5,"","",2.04,2.3
CVD-0013465,"",O=C(NC1=C2C=C(F)C=CC2=NN1)C1CCOC2=CC=C(Cl)C=C21,Fc1ccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,001,CVD-0013465-001,JAG-UCB-52b62a6f-4,O=C(Nc1[nH]nc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,(IC50 could not be calculated),"","","",""
CVD-0013457,"",O=C(NC1=CC(=O)NC=C1)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cc[nH]c(=O)c1)CCO2,002,CVD-0013457-002,BEN-DND-b89db3f2-2,"ClC1=CC=C2OCCC(C(=O)NC3=CC(=O)NC=C3)C2=C1 |c:17,21,t:1,3,12|",> 99.5,"","",2.05,4
CVD-0013434,"",CCOC(=O)N1CCN(CC(=O)NC2=CN=CC=C2C)CC1,CCOC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,002,CVD-0013434-002,BEN-DND-6de5dfa0-7,CCOC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,> 99.5,"","","",""
CVD-0013431,"",CC1=CC=NC=C1NC(=O)CN1CCNC(=O)C1,Cc1ccncc1NC(=O)CN1CCNC(=O)C1,002,CVD-0013431-002,BEN-DND-6de5dfa0-4,Cc1ccncc1NC(=O)CN1CCNC(=O)C1,> 99.5,"","","",""
CVD-0013430,"",CC1=CC=NC=C1NC(=O)CN1CCN(S(C)(=O)=O)CC1,Cc1ccncc1NC(=O)CN1CCN(S(C)(=O)=O)CC1,003,CVD-0013430-003,BEN-DND-6de5dfa0-3,Cc1ccncc1NC(=O)CN1CCN(CC1)S(C)(=O)=O,> 99.5,"","",1.91,2.3
CVD-0013429,"",CC1=CC=NC=C1NC(=O)CN1CCN(C(=O)C2=CC=CC=C2)CC1,Cc1ccncc1NC(=O)CN1CCN(C(=O)c2ccccc2)CC1,002,CVD-0013429-002,BEN-DND-6de5dfa0-2,Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)c1ccccc1,> 99.5,"","","",""
CVD-0013428,"",CCC(=O)N1CCN(CC(=O)NC2=CN=CC=C2C)CC1,CCC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,003,CVD-0013428-003,BEN-DND-6de5dfa0-1,CCC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,> 99.5,"","","",""
CVD-0013422,"",O=C(CC1=CC(Cl)=CC=C1Cl)NC1=CN=CC2=CC=CC=C12,Clc1ccc(Cl)c(CC(=O)Nc2cncc3ccccc23)c1,001,CVD-0013422-001,PET-UNK-dd44aeb6-2,O=C(Cc1cc(Cl)ccc1Cl)Nc1cncc2ccccc12,1.02,0.723,1.44,0.699,1.1
CVD-0013421,"",O=C(CC1=CC(Cl)=CC=C1F)NC1=CN=CC2=CC=CC=C12,Fc1ccc(Cl)cc1CC(=O)Nc1cncc2ccccc12,001,CVD-0013421-001,PET-UNK-dd44aeb6-1,O=C(Cc1cc(Cl)ccc1F)Nc1cncc2ccccc12,0.707,0.641,0.780,0.972,1.1
CVD-0013375,"",O=C(CC1=CC(Cl)=CC=C1)N[C@H]1CCNC1=O,Clc1cccc(CC(=O)N[C@H]2CCNC2=O)c1,001,CVD-0013375-001,MAT-POS-500ca5bf-2,O=C(Cc1cccc(Cl)c1)N[C@H]1CCNC1=O,(IC50 could not be calculated),"","","",""
CVD-0013374,"",CC1=CC=NC=C1NC(=O)CC1=CC(OCCN2CCOCC2C)=CC(Cl)=C1,CC1COCCN1CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,001,CVD-0013374-001,MAT-POS-500ca5bf-1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCN2CCOCC2C)c1,> 99.5,"","",0.494,2.3
CVD-0013316,"",CN1C=C(CN(C(=O)CN2N=NC3=CC=CC=C32)C2=CC=C(N3CCCCC3)C=C2)C=N1,Cn1cc(CN(C(=O)Cn2nnc3ccccc23)c2ccc(N3CCCCC3)cc2)cn1,001,CVD-0013316-001,ALP-POS-7c842ab8-1,Cn1cc(CN(C(=O)Cn2nnc3ccccc32)c2ccc(N3CCCCC3)cc2)cn1,> 99.5,"","",1.18,2.1
CVD-0013309,"",C=CC(=O)N(C(=O)[C@@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12,Clc1ccc2c(c1)[C@H](C(=O)N(C(=O)C=C)c1cncc3ccccc13)CCO2,001,CVD-0013309-001,VLA-UCB-50c39ae8-7,[H][C@@]1(C(=O)N(C(=O)C=C)c2cncc3ccccc23)CCOc2ccc(Cl)cc21,0.828,0.686,0.999,0.785,1.1
CVD-0013304,"",O=C1C[C@]2(CCOC3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12,Clc1ccc2c(c1)[C@]1(CCO2)CC(=O)N(c2cncc3ccccc23)C1=O,001,CVD-0013304-001,VLA-UCB-50c39ae8-2,O=C1C[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,0.246,0.216,0.280,1.24,1.1
